timesheet_id,project_id,employee_id,work_date,hours,activity,is_billable
T70037,P-1001,E01,2025-02-19,7,Projektledning,true
T70038,P-1001,E03,2025-02-19,4,Rivning,true
T70039,P-1001,E06,2025-02-19,4,El,true
T70040,P-1001,E01,2025-02-20,8,Besiktning,true
T70041,P-1001,E06,2025-02-20,4,El,true
T70042,P-1001,E05,2025-02-21,7,El,true
T70043,P-1001,E05,2025-02-24,9,El,true
T70044,P-1001,E06,2025-02-24,4,El,true
T70045,P-1001,E05,2025-02-25,6,El,true
T70046,P-1001,E01,2025-02-27,7,Projektledning,true
T70047,P-1001,E02,2025-02-27,4,Stomme,true
T70048,P-1001,E06,2025-02-27,9,El,true
T70049,P-1001,E01,2025-02-28,4,Besiktning,true
T70050,P-1001,E03,2025-02-28,4,Stomme,true
T70051,P-1001,E06,2025-02-28,4,El,true
T70052,P-1001,E01,2025-03-03,7,Besiktning,true
T70053,P-1001,E06,2025-03-03,6,El,true
T70054,P-1001,E02,2025-03-04,8,Stomme,true
T70055,P-1001,E01,2025-03-06,8,Besiktning,true
T70056,P-1001,E05,2025-03-06,4,El,true
T70057,P-1001,E06,2025-03-06,6,El,true
T70058,P-1001,E03,2025-03-07,7,Stomme,true
T70059,P-1001,E06,2025-03-07,8,El,true
T70060,P-1001,E01,2025-03-10,8,Besiktning,true
T70061,P-1001,E05,2025-03-12,8,El,true
T70062,P-1001,E01,2025-03-13,10,Besiktning,true
T70063,P-1001,E05,2025-03-18,8,El,true
T70064,P-1001,E06,2025-03-19,9,El,true
T70065,P-1001,E02,2025-03-20,4,Besiktning,true
T70066,P-1001,E01,2025-03-21,8,Besiktning,true
T70067,P-1001,E02,2025-03-21,10,Besiktning,true
T70068,P-1001,E06,2025-03-21,7,El,true
T70069,P-1001,E01,2025-03-24,6,Besiktning,true
T70070,P-1001,E05,2025-03-27,10,El,true
T70071,P-1001,E06,2025-03-28,8,El,true
T70072,P-1001,E01,2025-04-01,8,Besiktning,true
T70073,P-1001,E05,2025-04-02,8,El,true
T70074,P-1001,E06,2025-04-02,7,El,true
T70075,P-1001,E01,2025-04-03,7,Projektledning,true
T70076,P-1001,E03,2025-04-07,4,Rivning,true
T70077,P-1001,E06,2025-04-08,4,El,true
T70078,P-1001,E03,2025-04-09,6,Stomme,true
T70079,P-1001,E05,2025-04-09,8,El,true
T70080,P-1001,E06,2025-04-09,7,El,true
T70081,P-1001,E01,2025-04-10,8,Projektledning,true
T70082,P-1001,E02,2025-04-11,8,Stomme,true
T70083,P-1001,E01,2025-04-15,7,Projektledning,true
T70084,P-1001,E02,2025-04-17,8,Besiktning,true
T70085,P-1001,E02,2025-04-21,4,Besiktning,true
T70086,P-1001,E03,2025-04-21,8,Rivning,true
T70087,P-1001,E06,2025-04-21,8,El,true
T70088,P-1001,E06,2025-04-22,6,El,true
T70089,P-1001,E03,2025-04-23,7,Rivning,true
T70090,P-1001,E01,2025-04-25,9,Besiktning,true
T70091,P-1001,E05,2025-04-28,8,El,true
T70092,P-1001,E03,2025-04-29,8,Inredning,true
T70093,P-1001,E01,2025-05-01,6,Besiktning,true
T70094,P-1001,E02,2025-05-01,10,Besiktning,true
T70095,P-1001,E01,2025-05-02,9,Besiktning,true
T70096,P-1001,E02,2025-05-02,4,Stomme,true
T70097,P-1001,E03,2025-05-05,7,Stomme,true
T70098,P-1001,E05,2025-05-08,8,El,true
T70099,P-1001,E01,2025-05-09,8,Projektledning,true
T70100,P-1001,E02,2025-05-09,4,Projektledning,true
T70101,P-1001,E05,2025-05-09,8,El,true
T70102,P-1001,E05,2025-05-13,4,El,true
T70103,P-1001,E02,2025-05-14,4,Projektledning,true
T70104,P-1001,E05,2025-05-14,10,El,true
T70105,P-1001,E05,2025-05-21,8,El,true
T70106,P-1001,E02,2025-05-22,6,Projektledning,true
T70107,P-1001,E01,2025-05-23,7,Projektledning,true
T70108,P-1001,E03,2025-05-23,6,Rivning,true
T70109,P-1001,E01,2025-05-26,6,Projektledning,true
T70110,P-1001,E05,2025-05-26,8,El,true
T70111,P-1001,E06,2025-05-26,6,El,true
T70112,P-1001,E02,2025-05-27,7,Stomme,true
T70113,P-1001,E06,2025-05-27,7,El,true
T70114,P-1001,E01,2025-05-28,8,Besiktning,true
T70115,P-1001,E01,2025-05-29,8,Projektledning,true
T70116,P-1001,E05,2025-05-29,9,El,true
T70117,P-1001,E05,2025-05-30,7,El,true
T70118,P-1001,E05,2025-06-03,6,El,true
T70119,P-1001,E01,2025-06-04,4,Projektledning,true
T70120,P-1001,E02,2025-06-04,4,Projektledning,true
T70121,P-1001,E03,2025-06-04,8,Stomme,true
T70122,P-1001,E05,2025-06-04,6,El,true
T70123,P-1001,E03,2025-06-05,7,Rivning,true
T70124,P-1001,E05,2025-06-05,10,El,true
T70125,P-1001,E06,2025-06-06,8,El,true
T70126,P-1001,E02,2025-06-09,4,Stomme,true
T70127,P-1001,E03,2025-06-10,8,Rivning,true
T70128,P-1001,E03,2025-06-11,7,Stomme,true
T70129,P-1001,E02,2025-06-13,4,Projektledning,true
T70130,P-1001,E05,2025-06-13,6,El,true
T70131,P-1001,E06,2025-06-13,8,El,true
T70132,P-1001,E03,2025-06-16,6,Rivning,true
T70133,P-1001,E06,2025-06-16,8,El,true
T70134,P-1001,E01,2025-06-18,8,Projektledning,true
T70135,P-1001,E03,2025-06-18,8,Stomme,true
T70136,P-1001,E05,2025-06-18,8,El,true
T70137,P-1001,E02,2025-06-23,8,Besiktning,true
T70138,P-1001,E01,2025-06-25,8,Besiktning,true
T70139,P-1001,E01,2025-06-27,8,Projektledning,true
T70140,P-1001,E03,2025-06-27,8,Stomme,true
T70141,P-1002,E09,2025-02-03,8,Rivning,true
T70142,P-1002,E02,2025-02-05,9,Projektledning,true
T70143,P-1002,E07,2025-02-05,9,Kalkyl,false
T70144,P-1002,E07,2025-02-13,4,Kalkyl,false
T70145,P-1002,E09,2025-02-14,6,Rivning,true
T70146,P-1002,E03,2025-02-17,8,Rivning,true
T70147,P-1002,E02,2025-02-19,10,Projektledning,true
T70148,P-1002,E02,2025-02-20,9,Stomme,true
T70149,P-1002,E09,2025-02-27,4,Rivning,true
T70150,P-1002,E10,2025-02-27,10,Besiktning,true
T70151,P-1002,E07,2025-03-03,8,Kalkyl,false
T70152,P-1002,E09,2025-03-06,8,Rivning,true
T70153,P-1002,E09,2025-03-12,8,Rivning,true
T70154,P-1002,E02,2025-03-14,9,Stomme,true
T70155,P-1002,E09,2025-03-14,8,Mark,true
T70156,P-1002,E07,2025-03-17,6,Kalkyl,false
T70157,P-1002,E03,2025-03-21,9,Stomme,true
T70158,P-1002,E07,2025-03-21,8,Kalkyl,false
T70159,P-1002,E09,2025-03-21,8,Rivning,true
T70160,P-1002,E02,2025-03-24,10,Besiktning,true
T70161,P-1002,E10,2025-03-24,9,Besiktning,true
T70162,P-1002,E02,2025-03-25,8,Projektledning,true
T70163,P-1002,E07,2025-03-26,4,Kalkyl,false
T70164,P-1002,E02,2025-03-28,9,Besiktning,true
T70165,P-1002,E10,2025-03-28,8,Besiktning,true
T70166,P-1002,E07,2025-04-03,8,Kalkyl,false
T70167,P-1002,E07,2025-04-07,9,Kalkyl,false
T70168,P-1002,E10,2025-04-08,8,Projektledning,true
T70169,P-1002,E02,2025-04-09,9,Besiktning,true
T70170,P-1002,E03,2025-04-09,4,Inredning,true
T70171,P-1002,E03,2025-04-11,4,Inredning,true
T70172,P-1002,E07,2025-04-11,9,Kalkyl,false
T70173,P-1002,E03,2025-04-14,4,Stomme,true
T70174,P-1002,E07,2025-04-14,7,Kalkyl,false
T70175,P-1002,E02,2025-04-17,8,Projektledning,true
T70176,P-1002,E07,2025-04-17,8,Kalkyl,false
T70177,P-1002,E02,2025-04-21,6,Stomme,true
T70178,P-1002,E03,2025-04-21,10,Inredning,true
T70179,P-1002,E02,2025-04-23,7,Besiktning,true
T70180,P-1002,E09,2025-04-24,8,Rivning,true
T70181,P-1002,E10,2025-04-29,4,Projektledning,true
T70182,P-1002,E02,2025-05-01,6,Stomme,true
T70183,P-1002,E10,2025-05-01,7,Projektledning,true
T70184,P-1002,E02,2025-05-06,4,Projektledning,true
T70185,P-1002,E09,2025-05-07,9,Rivning,true
T70186,P-1002,E02,2025-05-14,4,Projektledning,true
T70187,P-1002,E09,2025-05-14,6,Rivning,true
T70188,P-1002,E07,2025-05-19,7,Kalkyl,false
T70189,P-1002,E03,2025-05-20,7,Inredning,true
T70190,P-1002,E09,2025-05-29,7,Rivning,true
T70191,P-1002,E03,2025-06-06,8,Inredning,true
T70192,P-1002,E10,2025-06-11,7,Besiktning,true
T70193,P-1002,E02,2025-06-13,8,Projektledning,true
T70194,P-1002,E03,2025-06-16,10,Inredning,true
T70195,P-1002,E07,2025-06-17,6,Kalkyl,false
T70196,P-1002,E03,2025-06-19,8,Inredning,true
T70197,P-1002,E07,2025-06-20,9,Kalkyl,false
T70198,P-1002,E10,2025-06-20,8,Besiktning,true
T70199,P-1002,E10,2025-07-02,6,Projektledning,true
T70200,P-1002,E10,2025-07-08,4,Besiktning,true
T70201,P-1002,E10,2025-07-11,8,Besiktning,true
T70202,P-1002,E03,2025-07-15,10,Inredning,true
T70203,P-1002,E10,2025-07-21,7,Projektledning,true
T70204,P-1002,E03,2025-07-28,8,Stomme,true
T70205,P-1002,E02,2025-07-31,9,Besiktning,true
T70206,P-1002,E10,2025-08-04,10,Projektledning,true
T70207,P-1002,E03,2025-08-05,4,Stomme,true
T70208,P-1002,E09,2025-08-05,6,Rivning,true
T70209,P-1002,E09,2025-08-06,6,Mark,true
T70210,P-1002,E07,2025-08-07,8,Kalkyl,false
T70211,P-1002,E10,2025-08-07,8,Projektledning,true
T70212,P-1002,E03,2025-08-08,10,Stomme,true
T70213,P-1002,E03,2025-08-12,7,Stomme,true
T70214,P-1002,E03,2025-08-13,8,Inredning,true
T70215,P-1002,E02,2025-08-18,4,Stomme,true
T70216,P-1002,E03,2025-08-20,10,Stomme,true
T70217,P-1002,E09,2025-08-25,6,Rivning,true
T70218,P-1002,E03,2025-08-27,7,Stomme,true
T70219,P-1002,E10,2025-08-27,9,Besiktning,true
T70220,P-1002,E10,2025-08-28,8,Projektledning,true
T70221,P-1002,E02,2025-09-04,9,Besiktning,true
T70222,P-1002,E09,2025-09-04,6,Rivning,true
T70223,P-1002,E02,2025-09-10,6,Stomme,true
T70224,P-1002,E07,2025-09-10,9,Kalkyl,false
T70225,P-1002,E02,2025-09-11,6,Stomme,true
T70226,P-1002,E09,2025-09-11,10,Mark,true
T70227,P-1002,E10,2025-09-11,8,Projektledning,true
T70228,P-1002,E03,2025-09-12,4,Rivning,true
T70229,P-1003,E04,2025-03-10,10,Rivning,true
T70230,P-1003,E01,2025-03-12,6,Besiktning,true
T70231,P-1003,E02,2025-03-14,8,Besiktning,true
T70232,P-1003,E09,2025-03-17,8,Mark,true
T70233,P-1003,E04,2025-03-19,8,Stomme,true
T70234,P-1003,E07,2025-03-19,10,Kalkyl,false
T70235,P-1003,E07,2025-03-25,4,Kalkyl,false
T70236,P-1003,E09,2025-03-31,9,Mark,true
T70237,P-1003,E09,2025-04-01,9,Rivning,true
T70238,P-1003,E04,2025-04-02,6,Rivning,true
T70239,P-1003,E09,2025-04-02,6,Mark,true
T70240,P-1003,E04,2025-04-07,8,Inredning,true
T70241,P-1003,E04,2025-04-09,8,Stomme,true
T70242,P-1003,E09,2025-04-09,7,Mark,true
T70243,P-1003,E01,2025-04-10,4,Besiktning,true
T70244,P-1003,E02,2025-04-14,9,Besiktning,true
T70245,P-1003,E09,2025-04-16,9,Mark,true
T70246,P-1003,E01,2025-04-17,8,Besiktning,true
T70247,P-1003,E04,2025-04-22,8,Stomme,true
T70248,P-1003,E01,2025-04-23,8,Projektledning,true
T70249,P-1003,E07,2025-04-25,4,Kalkyl,false
T70250,P-1003,E09,2025-04-29,10,Rivning,true
T70251,P-1003,E09,2025-05-01,8,Mark,true
T70252,P-1003,E04,2025-05-02,4,Rivning,true
T70253,P-1003,E07,2025-05-07,4,Kalkyl,false
T70254,P-1003,E09,2025-05-08,8,Mark,true
T70255,P-1003,E09,2025-05-09,8,Rivning,true
T70256,P-1003,E09,2025-05-12,7,Mark,true
T70257,P-1003,E01,2025-05-16,7,Besiktning,true
T70258,P-1003,E01,2025-05-19,8,Besiktning,true
T70259,P-1003,E07,2025-05-19,10,Kalkyl,false
T70260,P-1003,E09,2025-05-21,6,Mark,true
T70261,P-1003,E07,2025-05-22,8,Kalkyl,false
T70262,P-1003,E04,2025-05-23,8,Stomme,true
T70263,P-1003,E02,2025-05-26,8,Stomme,true
T70264,P-1003,E04,2025-05-26,6,Rivning,true
T70265,P-1003,E09,2025-05-26,8,Rivning,true
T70266,P-1003,E02,2025-05-27,7,Projektledning,true
T70267,P-1003,E07,2025-05-28,8,Kalkyl,false
T70268,P-1003,E01,2025-05-29,8,Besiktning,true
T70269,P-1003,E02,2025-05-29,4,Besiktning,true
T70270,P-1003,E02,2025-06-03,4,Stomme,true
T70271,P-1003,E09,2025-06-03,9,Rivning,true
T70272,P-1003,E01,2025-06-04,8,Besiktning,true
T70273,P-1003,E04,2025-06-05,10,Rivning,true
T70274,P-1003,E09,2025-06-06,8,Rivning,true
T70275,P-1003,E04,2025-06-11,10,Inredning,true
T70276,P-1003,E07,2025-06-11,8,Kalkyl,false
T70277,P-1003,E04,2025-06-17,8,Stomme,true
T70278,P-1003,E04,2025-06-18,10,Inredning,true
T70279,P-1003,E07,2025-06-18,8,Kalkyl,false
T70280,P-1003,E02,2025-06-20,7,Projektledning,true
T70281,P-1003,E07,2025-06-23,6,Kalkyl,false
T70282,P-1003,E04,2025-06-26,8,Inredning,true
T70283,P-1003,E07,2025-06-27,8,Kalkyl,false
T70284,P-1003,E07,2025-07-03,8,Kalkyl,false
T70285,P-1003,E04,2025-07-07,8,Stomme,true
T70286,P-1003,E02,2025-07-09,7,Besiktning,true
T70287,P-1003,E04,2025-07-09,8,Rivning,true
T70288,P-1003,E02,2025-07-11,8,Besiktning,true
T70289,P-1003,E02,2025-07-14,8,Projektledning,true
T70290,P-1003,E04,2025-07-14,9,Inredning,true
T70291,P-1003,E07,2025-07-14,4,Kalkyl,false
T70292,P-1003,E07,2025-07-16,8,Kalkyl,false
T70293,P-1003,E01,2025-07-21,9,Besiktning,true
T70294,P-1003,E04,2025-07-22,10,Stomme,true
T70295,P-1003,E02,2025-07-24,7,Stomme,true
T70296,P-1003,E09,2025-07-25,8,Rivning,true
T70297,P-1003,E02,2025-07-29,4,Besiktning,true
T70298,P-1003,E09,2025-07-31,6,Rivning,true
T70299,P-1003,E02,2025-08-01,4,Besiktning,true
T70300,P-1003,E02,2025-08-06,4,Stomme,true
T70301,P-1003,E04,2025-08-07,8,Inredning,true
T70302,P-1003,E07,2025-08-07,7,Kalkyl,false
T70303,P-1003,E01,2025-08-12,7,Besiktning,true
T70304,P-1003,E01,2025-08-13,6,Projektledning,true
T70305,P-1003,E07,2025-08-14,6,Kalkyl,false
T70306,P-1003,E09,2025-08-14,9,Rivning,true
T70307,P-1003,E02,2025-08-18,4,Projektledning,true
T70308,P-1003,E02,2025-08-19,6,Besiktning,true
T70309,P-1003,E04,2025-08-21,9,Inredning,true
T70310,P-1003,E07,2025-08-21,8,Kalkyl,false
T70311,P-1003,E07,2025-08-22,7,Kalkyl,false
T70312,P-1003,E01,2025-08-27,6,Projektledning,true
T70313,P-1003,E04,2025-08-28,9,Stomme,true
T70314,P-1003,E07,2025-08-29,7,Kalkyl,false
T70315,P-1003,E09,2025-08-29,7,Mark,true
T70316,P-1003,E07,2025-09-01,10,Kalkyl,false
T70317,P-1003,E02,2025-09-02,8,Projektledning,true
T70318,P-1003,E04,2025-09-05,6,Inredning,true
T70319,P-1003,E09,2025-09-08,9,Mark,true
T70320,P-1003,E04,2025-09-09,4,Inredning,true
T70321,P-1003,E02,2025-09-15,6,Stomme,true
T70322,P-1003,E04,2025-09-16,6,Rivning,true
T70323,P-1003,E02,2025-09-19,8,Projektledning,true
T70324,P-1003,E02,2025-09-26,10,Projektledning,true
T70325,P-1003,E01,2025-09-30,4,Projektledning,true
T70326,P-1003,E02,2025-10-03,8,Projektledning,true
T70327,P-1003,E01,2025-10-06,6,Besiktning,true
T70328,P-1003,E02,2025-10-08,10,Besiktning,true
T70329,P-1003,E01,2025-10-10,9,Besiktning,true
T70330,P-1003,E01,2025-10-14,8,Besiktning,true
T70331,P-1003,E04,2025-10-14,10,Inredning,true
T70332,P-1003,E09,2025-10-14,6,Mark,true
T70333,P-1003,E01,2025-10-15,10,Projektledning,true
T70334,P-1003,E04,2025-10-17,6,Stomme,true
T70335,P-1003,E01,2025-10-23,7,Projektledning,true
T70336,P-1003,E09,2025-10-23,4,Rivning,true
T70337,P-1003,E02,2025-10-24,9,Stomme,true
T70338,P-1003,E07,2025-10-24,8,Kalkyl,false
T70339,P-1003,E01,2025-10-29,8,Besiktning,true
T70340,P-1003,E09,2025-11-03,8,Rivning,true
T70341,P-1003,E04,2025-11-04,10,Stomme,true
T70342,P-1003,E04,2025-11-05,8,Rivning,true
T70343,P-1003,E09,2025-11-11,8,Mark,true
T70344,P-1003,E04,2025-11-12,6,Inredning,true
T70345,P-1003,E09,2025-11-12,6,Rivning,true
T70346,P-1003,E09,2025-11-13,8,Rivning,true
T70347,P-1003,E02,2025-11-18,6,Projektledning,true
T70348,P-1003,E02,2025-11-21,4,Projektledning,true
T70349,P-1003,E01,2025-11-24,8,Besiktning,true
T70350,P-1003,E02,2025-11-25,4,Stomme,true
T70351,P-1003,E04,2025-11-25,8,Stomme,true
T70352,P-1003,E07,2025-11-26,10,Kalkyl,false
T70353,P-1003,E09,2025-11-26,8,Rivning,true
T70354,P-1003,E07,2025-11-27,8,Kalkyl,false
T70355,P-1004,E09,2025-04-07,8,Mark,true
T70356,P-1004,E05,2025-04-09,8,El,true
T70357,P-1004,E10,2025-04-09,4,Besiktning,true
T70358,P-1004,E02,2025-04-11,10,Besiktning,true
T70359,P-1004,E09,2025-04-11,10,Rivning,true
T70360,P-1004,E10,2025-04-11,8,Projektledning,true
T70361,P-1004,E05,2025-04-14,9,El,true
T70362,P-1004,E10,2025-04-14,4,Besiktning,true
T70363,P-1004,E07,2025-04-18,6,Kalkyl,false
T70364,P-1004,E02,2025-04-22,8,Besiktning,true
T70365,P-1004,E02,2025-04-24,7,Besiktning,true
T70366,P-1004,E07,2025-04-24,10,Kalkyl,false
T70367,P-1004,E10,2025-04-25,8,Projektledning,true
T70368,P-1004,E09,2025-04-28,8,Rivning,true
T70369,P-1004,E05,2025-04-29,9,El,true
T70370,P-1004,E07,2025-04-29,9,Kalkyl,false
T70371,P-1004,E10,2025-05-02,7,Besiktning,true
T70372,P-1004,E02,2025-05-06,10,Besiktning,true
T70373,P-1004,E02,2025-05-09,7,Besiktning,true
T70374,P-1004,E02,2025-05-13,6,Projektledning,true
T70375,P-1004,E09,2025-05-13,10,Mark,true
T70376,P-1004,E10,2025-05-13,8,Projektledning,true
T70377,P-1004,E02,2025-05-14,7,Stomme,true
T70378,P-1004,E05,2025-05-14,10,El,true
T70379,P-1004,E05,2025-05-15,8,El,true
T70380,P-1004,E10,2025-05-15,9,Projektledning,true
T70381,P-1004,E07,2025-05-16,10,Kalkyl,false
T70382,P-1004,E02,2025-05-20,6,Projektledning,true
T70383,P-1004,E05,2025-05-20,8,El,true
T70384,P-1004,E05,2025-05-21,4,El,true
T70385,P-1004,E09,2025-05-21,6,Mark,true
T70386,P-1004,E05,2025-05-28,10,El,true
T70387,P-1004,E10,2025-05-28,9,Besiktning,true
T70388,P-1004,E10,2025-06-02,10,Projektledning,true
T70389,P-1004,E02,2025-06-04,8,Besiktning,true
T70390,P-1004,E09,2025-06-04,4,Mark,true
T70391,P-1004,E02,2025-06-05,4,Stomme,true
T70392,P-1004,E05,2025-06-05,8,El,true
T70393,P-1004,E07,2025-06-05,10,Kalkyl,false
T70394,P-1004,E09,2025-06-06,7,Rivning,true
T70395,P-1004,E10,2025-06-09,7,Besiktning,true
T70396,P-1004,E05,2025-06-16,9,El,true
T70397,P-1004,E02,2025-06-17,4,Stomme,true
T70398,P-1004,E05,2025-06-17,9,El,true
T70399,P-1004,E10,2025-06-18,6,Besiktning,true
T70400,P-1004,E02,2025-06-19,10,Stomme,true
T70401,P-1004,E10,2025-06-19,8,Projektledning,true
T70402,P-1004,E02,2025-06-20,4,Stomme,true
T70403,P-1004,E05,2025-06-20,8,El,true
T70404,P-1004,E02,2025-06-23,9,Projektledning,true
T70405,P-1004,E07,2025-06-23,8,Kalkyl,false
T70406,P-1004,E09,2025-06-25,8,Rivning,true
T70407,P-1004,E07,2025-07-02,9,Kalkyl,false
T70408,P-1004,E05,2025-07-03,10,El,true
T70409,P-1004,E09,2025-07-04,4,Mark,true
T70410,P-1004,E10,2025-07-07,7,Besiktning,true
T70411,P-1004,E02,2025-07-09,7,Besiktning,true
T70412,P-1004,E05,2025-07-09,9,El,true
T70413,P-1004,E02,2025-07-10,9,Projektledning,true
T70414,P-1004,E10,2025-07-10,10,Projektledning,true
T70415,P-1004,E10,2025-07-11,10,Besiktning,true
T70416,P-1004,E07,2025-07-15,4,Kalkyl,false
T70417,P-1004,E10,2025-07-17,8,Besiktning,true
T70418,P-1004,E05,2025-07-18,8,El,true
T70419,P-1004,E10,2025-07-21,9,Projektledning,true
T70420,P-1004,E02,2025-07-22,8,Besiktning,true
T70421,P-1004,E05,2025-07-22,4,El,true
T70422,P-1004,E09,2025-07-24,9,Rivning,true
T70423,P-1004,E10,2025-07-24,7,Besiktning,true
T70424,P-1004,E10,2025-07-28,8,Besiktning,true
T70425,P-1004,E05,2025-07-30,10,El,true
T70426,P-1004,E05,2025-07-31,7,El,true
T70427,P-1004,E10,2025-07-31,4,Besiktning,true
T70428,P-1004,E02,2025-08-01,8,Projektledning,true
T70429,P-1004,E05,2025-08-04,9,El,true
T70430,P-1004,E10,2025-08-04,8,Projektledning,true
T70431,P-1004,E05,2025-08-05,8,El,true
T70432,P-1004,E05,2025-08-08,4,El,true
T70433,P-1004,E09,2025-08-08,4,Rivning,true
T70434,P-1004,E05,2025-08-12,9,El,true
T70435,P-1004,E10,2025-08-12,4,Projektledning,true
T70436,P-1004,E02,2025-08-13,10,Stomme,true
T70437,P-1004,E05,2025-08-13,8,El,true
T70438,P-1004,E09,2025-08-13,10,Mark,true
T70439,P-1004,E10,2025-08-13,4,Projektledning,true
T70440,P-1004,E05,2025-08-14,8,El,true
T70441,P-1004,E07,2025-08-18,10,Kalkyl,false
T70442,P-1004,E02,2025-08-19,7,Projektledning,true
T70443,P-1004,E07,2025-08-19,9,Kalkyl,false
T70444,P-1004,E10,2025-08-19,10,Besiktning,true
T70445,P-1004,E09,2025-08-20,7,Rivning,true
T70446,P-1004,E10,2025-08-20,8,Besiktning,true
T70447,P-1004,E05,2025-08-22,7,El,true
T70448,P-1004,E07,2025-08-22,7,Kalkyl,false
T70449,P-1004,E09,2025-08-22,7,Rivning,true
T70450,P-1004,E10,2025-08-27,10,Projektledning,true
T70451,P-1004,E10,2025-08-28,8,Projektledning,true
T70452,P-1004,E10,2025-09-05,4,Besiktning,true
T70453,P-1004,E02,2025-09-09,10,Stomme,true
T70454,P-1004,E05,2025-09-09,6,El,true
T70455,P-1004,E07,2025-09-11,10,Kalkyl,false
T70456,P-1004,E02,2025-09-15,9,Besiktning,true
T70457,P-1004,E02,2025-09-16,8,Stomme,true
T70458,P-1004,E05,2025-09-17,8,El,true
T70459,P-1004,E10,2025-09-17,7,Projektledning,true
T70460,P-1004,E05,2025-09-19,7,El,true
T70461,P-1004,E09,2025-09-19,4,Rivning,true
T70462,P-1004,E09,2025-09-24,8,Mark,true
T70463,P-1004,E05,2025-09-26,4,El,true
T70464,P-1004,E05,2025-10-01,8,El,true
T70465,P-1004,E05,2025-10-02,6,El,true
T70466,P-1004,E09,2025-10-03,8,Rivning,true
T70467,P-1004,E10,2025-10-06,8,Projektledning,true
T70468,P-1004,E09,2025-10-08,10,Rivning,true
T70469,P-1004,E02,2025-10-09,8,Projektledning,true
T70470,P-1004,E02,2025-10-10,4,Projektledning,true
T70471,P-1004,E07,2025-10-10,7,Kalkyl,false
T70472,P-1004,E05,2025-10-13,4,El,true
T70473,P-1004,E07,2025-10-15,10,Kalkyl,false
T70474,P-1004,E09,2025-10-15,8,Mark,true
T70475,P-1004,E02,2025-10-16,4,Stomme,true
T70476,P-1004,E07,2025-10-16,8,Kalkyl,false
T70477,P-1004,E09,2025-10-16,6,Rivning,true
T70478,P-1004,E02,2025-10-17,8,Stomme,true
T70479,P-1004,E02,2025-10-21,10,Stomme,true
T70480,P-1004,E09,2025-10-21,8,Mark,true
T70481,P-1004,E09,2025-10-24,7,Mark,true
T70482,P-1004,E10,2025-10-29,6,Projektledning,true
T70483,P-1004,E10,2025-10-31,7,Projektledning,true
T70484,P-1004,E07,2025-11-03,8,Kalkyl,false
T70485,P-1004,E02,2025-11-04,6,Projektledning,true
T70486,P-1004,E02,2025-11-05,9,Stomme,true
T70487,P-1004,E02,2025-11-06,7,Besiktning,true
T70488,P-1004,E09,2025-11-10,8,Mark,true
T70489,P-1004,E05,2025-11-11,6,El,true
T70490,P-1004,E07,2025-11-11,10,Kalkyl,false
T70491,P-1004,E07,2025-11-12,7,Kalkyl,false
T70492,P-1004,E05,2025-11-13,4,El,true
T70493,P-1004,E02,2025-11-17,6,Projektledning,true
T70494,P-1004,E02,2025-11-18,6,Besiktning,true
T70495,P-1004,E05,2025-11-18,8,El,true
T70496,P-1004,E07,2025-11-18,10,Kalkyl,false
T70497,P-1004,E07,2025-11-20,6,Kalkyl,false
T70498,P-1004,E10,2025-11-21,8,Besiktning,true
